Date,hash-rate
2020-04-11,116308064.119463
2020-04-12,111919080.567785
2020-04-13,125086031.222819
2020-04-14,122891539.44698
2020-04-15,123623036.705593
2020-04-16,112650577.826398
2020-04-17,92900151.843848
2020-04-18,115576566.86085
2020-04-19,111187583.309172
2020-04-20,117771058.636689
2020-04-21,115730561.554044
2020-04-22,103923467.233466
2020-04-23,112649865.245436
2020-04-24,114236483.065795
2020-04-25,107890011.784362
2020-04-26,108683320.694541
2020-04-27,111856556.335257
2020-04-28,122169572.167586
2020-04-29,115029791.975974
2020-04-30,107096702.874182
2020-05-01,111856556.335257
2020-05-02,117409718.706511
2020-05-03,133275896.910094
2020-05-04,125342807.808302
2020-05-05,126294576.814336
2020-05-06,123288445.655594
2020-05-07,117684425.398522
2020-05-08,109678682.174133
2020-05-09,108878107.851694
2020-05-10,136097634.814617
2020-05-11,125690168.622911
2020-05-12,116883851.076083
2020-05-13,95268344.370232
2020-05-14,91265472.7580373
2020-05-15,100071790.304866
2020-05-16,100872364.627304
2020-05-17,81658580.8887703
2020-05-18,102473513.272182
2020-05-19,92066047.0804763
2020-05-20,86971887.3185643
2020-05-21,98579623.7035512
2020-05-22,83529299.4740014
2020-05-23,89549429.1658213
2020-05-24,87291880.5313888
2020-05-25,94064526.4346863
2020-05-26,93312010.2232088
2020-05-27,103847237.183894
2020-05-28,98579623.7035512
2020-05-29,95569558.8576412
2020-05-30,117392528.990488
2020-05-31,112877431.721623
2020-06-01,100837172.337984
2020-06-02,97074591.2805962
2020-06-03,104599753.395371
2020-06-04,108668660.65278
2020-06-05,122192367.725211
2020-06-06,133797229.464477
2020-06-07,108539589.208428
2020-06-08,110587505.985945
2020-06-09,109222228.134267
2020-06-10,111952783.837623
2020-06-11,126288201.280246
2020-06-12,111270144.911784
2020-06-13,107856950.282588
2020-06-14,116048617.392658
2020-06-15,94204171.7658051
2020-06-16,106374812.691088
2020-06-17,108283617.573483
2020-06-18,97298323.0370428
2020-06-19,111422273.155323
2020-06-20,107498953.678023
2020-06-21,114560928.737163
2020-06-22,112206937.050783
2020-06-23,123976895.482684
2020-06-24,109068281.468943
2020-06-25,110637609.259863
2020-06-26,128684878.855444
2020-06-27,108283617.573483
2020-06-28,117699584.319003
2020-06-29,113776264.841703
2020-06-30,115344676.145677
2020-07-01,127111309.039231
2020-07-02,128680584.459468
2020-07-03,127895946.749349
2020-07-04,123188120.488637
2020-07-05,127895946.749349
2020-07-06,120834207.358281
2020-07-07,126326671.329112
2020-07-08,118480294.227925
2020-07-09,128680584.459468
2020-07-10,126326671.329112
2020-07-11,122403482.778518
2020-07-12,119264931.938044
2020-07-13,121086665.700822
2020-07-14,124167138.542574
2020-07-15,118993507.769967
2020-07-16,117268964.179098
2020-07-17,101748071.861276
2020-07-18,112095333.40649
2020-07-19,112957605.201925
2020-07-20,121580323.15627
2020-07-21,107783974.429318
2020-07-22,124167138.542574
2020-07-23,117268964.179098
2020-07-24,138825759.064961
2020-07-25,122442594.951705
2020-07-26,136238943.678657
2020-07-27,128205972.903398
2020-07-28,121437040.395232
