Date,output-volume
2020-04-11,608915.365841462
2020-04-12,494233.050258298
2020-04-13,985586.612082916
2020-04-14,773028.957715486
2020-04-15,877779.734540594
2020-04-16,1109195.64760975
2020-04-17,945920.019087213
2020-04-18,613279.302850086
2020-04-19,547594.508733469
2020-04-20,839780.608285255
2020-04-21,810070.433540893
2020-04-22,866718.352478309
2020-04-23,924532.437602299
2020-04-24,1265403.31533266
2020-04-25,612813.214824569
2020-04-26,523828.657864635
2020-04-27,1035215.22430837
2020-04-28,881270.46901014
2020-04-29,1797174.1981907
2020-04-30,2022344.59395085
2020-05-01,1076318.37468517
2020-05-02,551345.643588245
2020-05-03,729928.366536047
2020-05-04,914148.179451729
2020-05-05,1091229.69871237
2020-05-06,1019264.00328187
2020-05-07,1319480.59718214
2020-05-08,1326677.95960725
2020-05-09,1171689.06029833
2020-05-10,805120.27036456
2020-05-11,1165274.92614542
2020-05-12,1205576.90515208
2020-05-13,1111537.86226089
2020-05-14,1138602.39322196
2020-05-15,1004693.83507288
2020-05-16,588481.035675438
2020-05-17,587798.415081619
2020-05-18,1062998.79589118
2020-05-19,1176856.58096745
2020-05-20,1085395.61863261
2020-05-21,981107.891056958
2020-05-22,987088.019611931
2020-05-23,556030.768258092
2020-05-24,595935.213819698
2020-05-25,1099658.34870169
2020-05-26,952761.581576603
2020-05-27,1106668.09300837
2020-05-28,839340.520864076
2020-05-29,1047675.48051426
2020-05-30,587440.145320611
2020-05-31,752990.409021887
2020-06-01,1253496.17612293
2020-06-02,1566267.80336628
2020-06-03,1129212.65239848
2020-06-04,1152648.34209259
2020-06-05,1061346.60727637
2020-06-06,499113.05981015
2020-06-07,452165.291612093
2020-06-08,983934.73421203
2020-06-09,879184.175881874
2020-06-10,1195978.12128421
2020-06-11,1001631.28565624
2020-06-12,830253.863744253
2020-06-13,582211.681689125
2020-06-14,479773.867716293
2020-06-15,1010530.12387002
2020-06-16,1354151.1693022
2020-06-17,935895.462594491
2020-06-18,787459.576308072
2020-06-19,1446849.25137761
2020-06-20,544762.336902044
2020-06-21,475839.887667669
2020-06-22,962617.166341449
2020-06-23,1353314.1414485
2020-06-24,1311910.1917584
2020-06-25,1187885.16995811
2020-06-26,1223831.11613146
2020-06-27,578597.558721226
2020-06-28,683500.705868015
2020-06-29,1013567.96454737
2020-06-30,1097730.27154464
2020-07-01,1085316.16279451
2020-07-02,1031021.5341106
2020-07-03,971719.254995018
2020-07-04,676450.563713943
2020-07-05,600272.961085762
2020-07-06,1159525.34007784
2020-07-07,992282.946751971
2020-07-08,1088708.77697653
2020-07-09,976219.418168258
2020-07-10,969619.359678852
2020-07-11,613984.724456739
2020-07-12,678513.983457948
2020-07-13,1223910.64205352
2020-07-14,910587.514779727
2020-07-15,833760.320201608
2020-07-16,984626.116643764
2020-07-17,848790.136178614
2020-07-18,660373.467356979
2020-07-19,651373.590622766
2020-07-20,909433.194233738
2020-07-21,890489.549614565
2020-07-22,954797.572798298
2020-07-23,1016262.18315993
2020-07-24,1035386.49292255
2020-07-25,791995.338359226
2020-07-26,730216.75686728
2020-07-27,1239333.7545504
2020-07-28,1269990.75861043
2020-07-29,1131995.4293344
2020-07-30,1045611.30384732
2020-07-31,1014392.20306478
2020-08-01,864866.804415056
2020-08-02,793876.043691907
2020-08-03,1131415.83019561
2020-08-04,993343.061244682
2020-08-05,993543.746320266
2020-08-06,1194659.24607117
2020-08-07,1022839.81732761
2020-08-08,805601.805601121
2020-08-09,698476.612509977
2020-08-10,1024528.55495357
2020-08-11,1042770.73857038
2020-08-12,976274.057328136
2020-08-13,907786.726174472
2020-08-14,1440043.27138648
2020-08-15,1432177.73151402
2020-08-16,1819310.32164451
2020-08-17,2938608.11177309
2020-08-18,2076963.08785902
2020-08-19,1887293.8647586957
2020-08-20,1846156.891732365
2020-08-21,1495713.7528094356
2020-08-22,1358275.3397950362
